,pattern,alpha,train_rmse,test_rmse
423,PATT0000142,0.001,0.7005626199583174,0.6988470930670883
424,PATT0000142,0.01,0.7031966782211988,0.7001876022240547
425,PATT0000142,0.1,0.7241778258904442,0.7204171734692615
426,PATT0000143,0.001,0.7809915523110265,0.778170155556232
427,PATT0000143,0.01,0.7836798161722502,0.7790773020825933
428,PATT0000143,0.1,0.7961987306481526,0.7908861869930601
429,PATT0000144,0.001,0.734230679009162,0.7323368675900673
430,PATT0000144,0.01,0.7366623027806215,0.733077862525789
431,PATT0000144,0.1,0.7525728514043206,0.7479057677723632
432,PATT0000145,0.001,0.7705698840859428,0.7679573258945284
433,PATT0000145,0.01,0.7733055877138405,0.7688578398889361
434,PATT0000145,0.1,0.7921883825759478,0.7868090480968828
435,PATT0000146,0.001,0.7441520963590296,0.741114609313959
436,PATT0000146,0.01,0.7471386872978169,0.7425745452550735
437,PATT0000146,0.1,0.777611823541108,0.7721411102060446
438,PATT0000147,0.001,0.7622023764872186,0.7588501174889852
439,PATT0000147,0.01,0.7651536813528671,0.7599809387039493
440,PATT0000147,0.1,0.7891990243998334,0.7842022221516707
441,PATT0000148,0.001,0.7332256511928126,0.7305747614225971
442,PATT0000148,0.01,0.7354584764854938,0.7308227262304594
443,PATT0000148,0.1,0.7525728514043206,0.7479057677723632
444,PATT0000149,0.001,0.7720025796743276,0.7686412562333285
445,PATT0000149,0.01,0.7744413933185034,0.769208779506236
446,PATT0000149,0.1,0.7921883825759478,0.7868090480968828
447,PATT0000150,0.001,0.744338262427913,0.740451650290366
448,PATT0000150,0.01,0.7471048113003695,0.7413693078489272
449,PATT0000150,0.1,0.777611823541108,0.7721411102060446
